region_vistited,region_of_residence,year,number_of_visits_thousands,spending_million
Scotland,Europe,2021,351.1710883822977,230.278798434904
Scotland,Europe,2022,1954.1975394040767,1265.6662861637183
Scotland,- of which EU,2018,1938.7753898444678,955.2791642725355
Scotland,- of which EU,2019,1586.773918851692,831.7799788252709
Scotland,- of which EU,2020,NA,NA
Scotland,- of which EU,2021,326.6793818623961,206.14221290181072
Scotland,- of which EU,2022,1702.3584070228228,1042.1764377928027
Scotland,- of which EU15,2018,1773.2110665716734,908.8333633184421
Scotland,- of which EU15,2019,1389.4091625589178,751.1664989285642
Scotland,- of which EU15,2020,NA,NA
Scotland,- of which EU15,2021,262.4453908777316,175.44401874013528
Scotland,- of which EU15,2022,1461.5589059862773,952.6199794375607
Scotland,- of which EU Oth,2018,165.56432327279492,46.4458009540931
Scotland,- of which EU Oth,2019,197.36475629277368,80.61347989670678
Scotland,- of which EU Oth,2020,NA,NA
Scotland,- of which EU Oth,2021,64.23399098466466,30.698194161675527
Scotland,- of which EU Oth,2022,240.79950103654608,89.55645835524174
Scotland,Other Countries,2018,861.250136482685,691.5981048205233
Scotland,Other Countries,2019,898.3799769979275,750.9210554349497
Scotland,Other Countries,2020,NA,NA
Scotland,Other Countries,2021,45.45159802933382,109.61452739006312
Scotland,Other Countries,2022,444.9020694664547,511.8318857812076
Scotland,Total World,2018,3729.4334885770204,2378.727659519068
Scotland,Total World,2019,3460.0996687616566,2538.4240653527604
Scotland,Total World,2020,NA,NA
Scotland,Total World,2021,478.8453535637017,458.7944690990782
Scotland,Total World,2022,3234.4806131378796,3151.358505705251
Wales,North America,2018,136.68005237181544,70.64039023962813
Wales,North America,2019,145.46952735018425,68.31445343006413
Wales,North America,2020,NA,NA
Wales,North America,2021,14.74489025771561,10.249450074469735
Wales,North America,2022,111.07162038947835,70.1520514714582
Wales,Europe,2018,651.0656434600699,208.4940327485713
Wales,Europe,2019,644.2776424760187,208.64287531693884
Wales,Europe,2020,NA,NA
Wales,Europe,2021,93.91881042159214,37.436204833831695
Wales,Europe,2022,460.39433260644336,180.6715807184562
Wales,- of which EU,2018,609.656963115665,191.55882517951787
Wales,- of which EU,2019,608.4434778273994,194.5870799663402
Wales,- of which EU,2020,NA,NA
Wales,- of which EU,2021,87.02425608858931,33.258928704005484
Wales,- of which EU,2022,423.9944164332917,161.57909066852102
Wales,- of which EU15,2018,524.1935666332424,168.7327492444848
Wales,- of which EU15,2019,506.5082598971508,166.60061365904193
Wales,- of which EU15,2020,NA,NA
Wales,- of which EU15,2021,71.58465762566351,29.21233931578201
Wales,- of which EU15,2022,352.3366357170125,138.62937491736258
Wales,- of which EU Oth,2018,85.46339648242255,22.826075935032993
Wales,- of which EU Oth,2019,101.93521793024888,27.98646630729827
Wales,- of which EU Oth,2020,NA,NA
Wales,- of which EU Oth,2021,15.439598462925755,4.04658938822347
Wales,- of which EU Oth,2022,71.6577807162792,22.94971575115835
Wales,Other Countries,2018,199.7564576812816,154.13994480819883
Wales,Other Countries,2019,233.3200227107334,237.67475255351096
Wales,Other Countries,2020,NA,NA
Wales,Other Countries,2021,15.196896987158123,18.47882567256105
Wales,Other Countries,2022,114.77835677245686,140.52169772331882
Wales,Total World,2018,987.5021535131664,433.2743677963985
Wales,Total World,2019,1023.0671925369368,514.6320813005136
Wales,Total World,2020,NA,NA
Wales,Total World,2021,123.8605976664659,66.16448058086245
Wales,Total World,2022,686.2443097683781,391.3453299132333
All Regions,North America,2018,5423.7204588121085,4705.952059823185
All Regions,North America,2019,5372.8151304604635,4918.437395912748
All Regions,North America,2020,1170.7904770334803,NA
All Regions,North America,2021,791.6512281695069,931.5840680049455
All Regions,North America,2022,5483.433211687382,6896.000646328453
All Regions,Europe,2018,26692.625706209597,11327.288256075226
All Regions,Europe,2019,27293.13337933356,12407.02999046855
All Regions,Europe,2020,7987.792351741956,NA
All Regions,Europe,2021,4833.6045074739895,2897.2703716726983
All Regions,Europe,2022,20979.287299420506,11678.43687840505
All Regions,- of which EU,2018,24293.8811844099,9716.667468493217
All Regions,- of which EU,2019,24828.326766915816,10661.141970574012
All Regions,- of which EU,2020,NA,NA
All Regions,- of which EU,2021,4410.156952268004,2464.4399096747984
All Regions,- of which EU,2022,18959.440558076,9961.588540778339
All Regions,- of which EU15,2018,19980.048320795144,8204.283146029813
All Regions,- of which EU15,2019,20327.89528819971,8732.829538014117
All Regions,- of which EU15,2020,NA,NA
All Regions,- of which EU15,2021,3515.552621697406,2029.3526359094858
All Regions,- of which EU15,2022,15621.273819224978,8572.965183523514
All Regions,- of which EU Oth,2018,4313.832863614786,1512.384322463413
All Regions,- of which EU Oth,2019,4500.431478716101,1928.3124325598965
All Regions,- of which EU Oth,2020,NA,NA
All Regions,- of which EU Oth,2021,894.6043305705978,435.08727376531425
All Regions,- of which EU Oth,2022,3338.1667388510223,1388.6233572548222
All Regions,Other Countries,2018,8166.856463731313,10474.578136662694
All Regions,Other Countries,2019,8191.499486696711,11122.78522591785
All Regions,Other Countries,2020,1941.9242950444466,NA
All Regions,Other Countries,2021,758.5675168410913,1817.445352888605
All Regions,Other Countries,2022,4781.718485029078,7922.2033160818455
All Regions,Total World,2018,40283.202628753046,26507.818452561067
All Regions,Total World,2019,40857.447996490715,28448.25261229921
All Regions,Total World,2020,11100.507123819907,6209.817009855798
All Regions,Total World,2021,6383.82325248459,5646.299792566253
All Regions,Total World,2022,31244.43899613698,26496.640840815366
