region,purpose,year,spending_million,anuual_growth_2018_22_percent
- of which EU Oth,of which inclusive tour,2021,3.814087,-19.526971344111942
- of which EU Oth,of which inclusive tour,2022,26.915264797922678,-19.526971344111942
- of which EU Oth,Business,2018,467,-5.3622694221264755
- of which EU Oth,Business,2019,585,-5.3622694221264755
- of which EU Oth,Business,2020,NA,-5.3622694221264755
- of which EU Oth,Business,2021,95.44777,-5.3622694221264755
- of which EU Oth,Business,2022,374.5974563344342,-5.3622694221264755
- of which EU Oth,Visiting friends or relatives,2018,592,-2.387669328034958
- of which EU Oth,Visiting friends or relatives,2019,589,-2.387669328034958
- of which EU Oth,Visiting friends or relatives,2020,NA,-2.387669328034958
- of which EU Oth,Visiting friends or relatives,2021,228.032452,-2.387669328034958
- of which EU Oth,Visiting friends or relatives,2022,537.7382862225526,-2.387669328034958
- of which EU Oth,Miscellaneous,2018,139,-7.342399502390262
- of which EU Oth,Miscellaneous,2019,164,-7.342399502390262
- of which EU Oth,Miscellaneous,2020,NA,-7.342399502390262
- of which EU Oth,Miscellaneous,2021,52.502304,-7.342399502390262
- of which EU Oth,Miscellaneous,2022,102.55521972738713,-7.342399502390262
- of which EU Oth,All visits,2018,1512,-2.111747668539443
- of which EU Oth,All visits,2019,1928,-2.111747668539443
- of which EU Oth,All visits,2020,NA,-2.111747668539443
- of which EU Oth,All visits,2021,435.087274,-2.111747668539443
- of which EU Oth,All visits,2022,1388.6233572548183,-2.111747668539443
Other Countries,Holiday,2018,4917,-11.336927231908668
Other Countries,Holiday,2019,5150,-11.336927231908668
Other Countries,Holiday,2020,NA,-11.336927231908668
Other Countries,Holiday,2021,443.823997,-11.336927231908668
Other Countries,Holiday,2022,3038.844598060569,-11.336927231908668
Other Countries,of which inclusive tour,2018,537,-21.26868813391879
Other Countries,of which inclusive tour,2019,571,-21.26868813391879
Other Countries,of which inclusive tour,2020,NA,-21.26868813391879
Other Countries,of which inclusive tour,2021,15.356249,-21.26868813391879
Other Countries,of which inclusive tour,2022,206.29953385021417,-21.26868813391879
Other Countries,Business,2018,1474,-3.7140733095459177
Other Countries,Business,2019,1771,-3.7140733095459177
Other Countries,Business,2020,NA,-3.7140733095459177
Other Countries,Business,2021,155.933601,-3.7140733095459177
Other Countries,Business,2022,1267.1686696580653,-3.7140733095459177
Other Countries,Visiting friends or relatives,2018,2518,3.0499564741652607
Other Countries,Visiting friends or relatives,2019,2607,3.0499564741652607
Other Countries,Visiting friends or relatives,2020,NA,3.0499564741652607
Other Countries,Visiting friends or relatives,2021,735.996471,3.0499564741652607
Other Countries,Visiting friends or relatives,2022,2839.9311103947302,3.0499564741652607
Other Countries,Miscellaneous,2018,1551,-16.24439669784634
Other Countries,Miscellaneous,2019,1587,-16.24439669784634
Other Countries,Miscellaneous,2020,NA,-16.24439669784634
Other Countries,Miscellaneous,2021,480.982946,-16.24439669784634
Other Countries,Miscellaneous,2022,763.3373771031642,-16.24439669784634
Other Countries,All visits,2018,10475,-6.75521140193317
Other Countries,All visits,2019,11123,-6.75521140193317
Other Countries,All visits,2020,NA,-6.75521140193317
Other Countries,All visits,2021,1817.445353,-6.75521140193317
Other Countries,All visits,2022,7918.352212104488,-6.75521140193317
Total World,Holiday,2018,12194,-1.3116084531513028
Total World,Holiday,2019,13341,-1.3116084531513028
Total World,Holiday,2020,NA,-1.3116084531513028
Total World,Holiday,2021,1284.367048,-1.3116084531513028
Total World,Holiday,2022,11566.579742013904,-1.3116084531513028
Total World,of which inclusive tour,2018,1648,-8.887198725656354
Total World,of which inclusive tour,2019,1987,-8.887198725656354
Total World,of which inclusive tour,2020,NA,-8.887198725656354
Total World,of which inclusive tour,2021,66.507288,-8.887198725656354
Total World,of which inclusive tour,2022,1135.9872986066064,-8.887198725656354
Total World,Business,2018,5115,-0.6577743702003924
Total World,Business,2019,5823,-0.6577743702003924
Total World,Business,2020,NA,-0.6577743702003924
Total World,Business,2021,938.777961,-0.6577743702003924
Total World,Business,2022,4981.996621955307,-0.6577743702003924
Total World,Visiting friends or relatives,2018,6233,4.936260707043449
Total World,Visiting friends or relatives,2019,6408,4.936260707043449
Total World,Visiting friends or relatives,2020,NA,4.936260707043449
Total World,Visiting friends or relatives,2021,2394.842481,4.936260707043449
Total World,Visiting friends or relatives,2022,7557.616368728751,4.936260707043449
Total World,Miscellaneous,2018,2907,-5.162964973246109
Total World,Miscellaneous,2019,2836,-5.162964973246109
Total World,Miscellaneous,2020,NA,-5.162964973246109
Total World,Miscellaneous,2021,1020.839146,-5.162964973246109
Total World,Miscellaneous,2022,2351.3897036077046,-5.162964973246109
Total World,All visits,2018,26508,-0.010543473884783161
Total World,All visits,2019,28448,-0.010543473884783161
Total World,All visits,2020,6210,-0.010543473884783161
Total World,All visits,2021,5646.299793,-0.010543473884783161
Total World,All visits,2022,26496.640840815442,-0.010543473884783161
