region,purpose,year,avg_spending_per_visit,avg_spending_per_day
- of which EU21,All visits,2022,547.9550615579199,96.30015572225938
- of which EU Oth,Holiday,2018,447.05728854721724,60.378384536481775
- of which EU Oth,Holiday,2019,551.7698728012887,83.01471284139345
- of which EU Oth,Holiday,2020,NA,NA
- of which EU Oth,Holiday,2021,663.1204019278794,45.89621840383822
- of which EU Oth,Holiday,2022,551.0147330624203,94.80841945018058
- of which EU Oth,of which inclusive tour,2018,613.989425889789,56.619859960199804
- of which EU Oth,of which inclusive tour,2019,493.79728096132254,76.53870894587423
- of which EU Oth,of which inclusive tour,2020,NA,NA
- of which EU Oth,of which inclusive tour,2021,465.4868672649026,57.81044382076371
- of which EU Oth,of which inclusive tour,2022,557.6129175673567,98.92312828143272
- of which EU Oth,Business,2018,257.8268407823877,50.777836490487395
- of which EU Oth,Business,2019,328.0631428022766,71.98797821431201
- of which EU Oth,Business,2020,NA,NA
- of which EU Oth,Business,2021,259.2738551057405,45.55606962516517
- of which EU Oth,Business,2022,314.62303209908464,84.81135342372558
- of which EU Oth,Visiting friends or relatives,2018,361.4574377124408,34.2755251931497
- of which EU Oth,Visiting friends or relatives,2019,393.8383108797809,38.77085797867463
- of which EU Oth,Visiting friends or relatives,2020,NA,NA
- of which EU Oth,Visiting friends or relatives,2021,580.4702904827832,32.021599890998814
- of which EU Oth,Visiting friends or relatives,2022,393.4549655066914,40.25546304004904
- of which EU Oth,Miscellaneous,2018,827.824793830233,46.25962635044814
- of which EU Oth,Miscellaneous,2019,1046.6258035132919,50.17975964133609
- of which EU Oth,Miscellaneous,2020,NA,NA
- of which EU Oth,Miscellaneous,2021,1143.980410160526,34.841442168183704
- of which EU Oth,Miscellaneous,2022,953.6053675653959,74.7771353628099
- of which EU Oth,All visits,2018,350.5894572827993,43.6632906492483
- of which EU Oth,All visits,2019,428.47279014900425,57.284440725552315
- of which EU Oth,All visits,2020,NA,NA
- of which EU Oth,All visits,2021,485.31041127726974,36.20759646340638
- of which EU Oth,All visits,2022,415.16315523844855,60.10025451082345
Other Countries,Holiday,2018,1291.1568893611109,156.18587601597062
Other Countries,Holiday,2019,1335.3196881473086,153.73127005505413
Other Countries,Holiday,2020,NA,NA
Other Countries,Holiday,2021,2458.6499799575354,160.60593161023826
Other Countries,Holiday,2022,1727.0031975665452,168.17697006968365
Other Countries,of which inclusive tour,2018,1074.8540333226244,156.66493141527815
Other Countries,of which inclusive tour,2019,1044.733635355867,132.35447500135942
Other Countries,of which inclusive tour,2020,NA,NA
Other Countries,of which inclusive tour,2021,2735.833113852271,248.05959675841083
Other Countries,of which inclusive tour,2022,1992.1362181077764,138.37009684256645
Other Countries,Business,2018,1342.7561287637059,165.8668419678979
Other Countries,Business,2019,1585.1152180220856,191.1038273637838
Other Countries,Business,2020,NA,NA
Other Countries,Business,2021,2356.121664178414,103.4777103129754
Other Countries,Business,2022,2538.1365563719164,220.0404310814215
Other Countries,Visiting friends or relatives,2018,968.3810233722442,56.490836191157634
Other Countries,Visiting friends or relatives,2019,1051.1270630655129,61.052733597794834
Other Countries,Visiting friends or relatives,2020,NA,NA
Other Countries,Visiting friends or relatives,2021,1763.53323245126,48.05206844767307
Other Countries,Visiting friends or relatives,2022,1323.3441803074813,56.761195276454394
Other Countries,Miscellaneous,2018,2351.0547218226657,80.85115394634053
Other Countries,Miscellaneous,2019,2151.273389344517,87.51509307495337
Other Countries,Miscellaneous,2020,NA,NA
Other Countries,Miscellaneous,2021,5088.265400244695,70.17828247300586
Other Countries,Miscellaneous,2022,2030.24857250093,64.33492458023947
Other Countries,All visits,2018,1282.5715969393907,100.58340454931174
Other Countries,All visits,2019,1357.8448297508496,107.36583114097472
Other Countries,All visits,2020,NA,NA
Other Countries,All visits,2021,2394.9575663070877,68.70976905149081
Other Countries,All visits,2022,1654.3618953493778,92.26218429754678
Total World,Holiday,2018,746.3940342534057,125.92552612081501
Total World,Holiday,2019,789.1266624769845,128.44303766994585
Total World,Holiday,2020,NA,NA
Total World,Holiday,2021,1047.2138211531158,120.62954751802563
Total World,Holiday,2022,947.7233443896532,152.73898368403314
Total World,of which inclusive tour,2018,767.7141458095324,138.54503922005748
Total World,of which inclusive tour,2019,770.7808365136393,133.91016954522507
Total World,of which inclusive tour,2020,NA,NA
Total World,of which inclusive tour,2021,885.4868314617923,119.88421708382914
Total World,of which inclusive tour,2022,1212.8109509626725,172.7316501602103
Total World,Business,2018,582.0184931977549,139.50841024926547
