year,month,region,number_of_visits_thousands
2019,Mar,all_visit,3129.2737819972963
2019,Mar,north_america,356.3780622537843
2019,Mar,europe,2365.4130985514257
2019,Mar,other_countries,407.48262119208613
2019,Apr,all_visit,3198.50478425777
2019,Apr,north_america,319.4768146932606
2019,Apr,europe,2416.6926333317942
2019,Apr,other_countries,462.3353362327151
2019,May,all_visit,3438.45571174334
2019,May,north_america,569.6386670192478
2019,May,europe,2219.028830491273
2019,May,other_countries,649.7882142328193
2019,Jun,all_visit,3727.3006093094164
2019,Jun,north_america,648.3353217722389
2019,Jun,europe,2242.8172466524275
2019,Jun,other_countries,836.1480408847503
2019,Jul,all_visit,4154.550652362978
2019,Jul,north_america,695.7741817283149
2019,Jul,europe,2452.673156733493
2019,Jul,other_countries,1006.1033139011699
2019,Aug,all_visit,4417.86666537428
2019,Aug,north_america,593.2708366510047
2019,Aug,europe,2706.797930562099
2019,Aug,other_countries,1117.7978981611764
2019,Sep,all_visit,3291.7105867830624
2019,Sep,north_america,455.7642854794698
2019,Sep,europe,1996.4302999982103
2019,Sep,other_countries,839.5160013053824
2019,Oct,all_visit,3730.9580319030556
2019,Oct,north_america,457.123490192809
2019,Oct,europe,2537.126408857198
2019,Oct,other_countries,736.7081328530485
2019,Nov,all_visit,3121.100552637582
2019,Nov,north_america,359.5461864893582
2019,Nov,europe,2209.367658932038
2019,Nov,other_countries,552.1867072161858
2019,Dec,all_visit,3445.0572259122646
2019,Dec,north_america,373.93662217119106
2019,Dec,europe,2468.682733213207
2019,Dec,other_countries,602.4378705278664
2020,Jan,all_visit,3036.130685199601
2020,Jan,north_america,337.12961507515115
2020,Jan,europe,2031.7934949764945
2020,Jan,other_countries,667.2075751479555
2020,Feb,all_visit,2512.354970337974
2020,Feb,north_america,249.1055486771959
2020,Feb,europe,1869.3195720421863
2020,Feb,other_countries,393.92984961859173
2020,Mar,all_visit,1445.7314297103344
2020,Mar,north_america,207.5480608528758
2020,Mar,europe,1025.3081129104726
2020,Mar,other_countries,212.8752559469861
2020,Apr,all_visit,95.16297604447611
2020,Apr,north_america,7.466669396908354
2020,Apr,europe,74.2926850809126
2020,Apr,other_countries,13.40362156665512
2020,May,all_visit,126.621238815112
2020,May,north_america,10.887031753871229
2020,May,europe,98.2728612830029
2020,May,other_countries,17.46134577823781
2020,Jun,all_visit,176.435799499385
2020,Jun,north_america,21.93150397247796
2020,Jun,europe,125.84888384888659
2020,Jun,other_countries,28.65541167802049
2020,Jul,all_visit,632.70729542
2020,Jul,north_america,67.28701041
2020,Jul,europe,463.3575401000001
2020,Jul,other_countries,102.06274491
2020,Aug,all_visit,993.0124607650001
2020,Aug,north_america,76.69412223399999
2020,Aug,europe,761.4673392000002
2020,Aug,other_countries,154.850999331
2020,Sep,all_visit,696.49591071
2020,Sep,north_america,62.63603401999999
2020,Sep,europe,529.3214067
2020,Sep,other_countries,104.53846999000001
2020,Oct,all_visit,569.639129091
2020,Oct,north_america,49.01018498600001
2020,Oct,europe,428.61089229999993
2020,Oct,other_countries,92.01805180499998
2020,Nov,all_visit,357.72983266299997
2020,Nov,north_america,38.84035220100001
2020,Nov,europe,266.72667049999995
2020,Nov,other_countries,52.16280996199999
2020,Dec,all_visit,458.485395564
2020,Dec,north_america,42.25434345400001
2020,Dec,europe,313.47289279999995
2020,Dec,other_countries,102.75815930999997
2021,Jan *,all_visit,64.75141954484639
2021,Jan *,north_america,13.205773606032373
2021,Jan *,europe,38.08525671060991
2021,Jan *,other_countries,13.460389228204093
2021,Feb *,all_visit,68.51118122925803
2021,Feb *,north_america,6.849194740960595
2021,Feb *,europe,39.30445721315603
2021,Feb *,other_countries,22.357529275141406
2021,Mar *,all_visit,61.32728222589545
2021,Mar *,north_america,7.935432653007016
