length_of_stay,region,year,number_of_visits,spending_million
1-3 nights,Other Countries,2022,756.6163650753714,541.8146647254683
1-3 nights,Total World,2018,16194.86035518512,5744.830441696317
1-3 nights,Total World,2019,17039.025000551846,6418.6602355129235
1-3 nights,Total World,2020,NA,NA
1-3 nights,Total World,2021,2128.754446356481,755.3247405590054
1-3 nights,Total World,2022,11928.153391485115,5257.7056008187
4-13 nights,North America,2018,2921.2856037100464,2782.4628495806405
4-13 nights,North America,2019,2866.5338260092494,3039.691734507196
4-13 nights,North America,2020,NA,NA
4-13 nights,North America,2021,370.0989632581311,426.9497587585616
4-13 nights,North America,2022,3037.297033886105,4161.073548013395
4-13 nights,Europe,2018,10630.640597985803,5169.218642119994
4-13 nights,Europe,2019,10723.624516777905,5520.839978588693
4-13 nights,Europe,2020,NA,NA
4-13 nights,Europe,2021,1969.0297163570146,1045.058204456753
4-13 nights,Europe,2022,9158.469247593224,5426.396734505747
4-13 nights,- of which EU,2018,9651.620835705273,4455.5569655630125
4-13 nights,- of which EU,2019,9742.983785813643,4757.615389490758
4-13 nights,- of which EU,2020,NA,NA
4-13 nights,- of which EU,2021,1799.6721671846224,896.382287888559
4-13 nights,- of which EU,2022,8241.671952157722,4669.71421915905
4-13 nights,- of which EU15,2018,8003.335550691774,3850.564865663662
4-13 nights,- of which EU15,2019,8061.25297082716,3991.2180278343494
4-13 nights,- of which EU15,2020,NA,NA
4-13 nights,- of which EU15,2021,1509.9194255861933,762.0317020196348
4-13 nights,- of which EU15,2022,6787.033311430532,4048.903655415529
4-13 nights,- of which EU Oth,2018,1648.2852850135082,604.9920998993567
4-13 nights,- of which EU Oth,2019,1681.7308149864514,766.3973616564195
4-13 nights,- of which EU Oth,2020,NA,NA
4-13 nights,- of which EU Oth,2021,289.7527415984305,134.35058586892364
4-13 nights,- of which EU Oth,2022,1454.6386407271684,620.8105637435254
4-13 nights,Other Countries,2018,4326.715820047669,5287.218805775976
4-13 nights,Other Countries,2019,4383.100159581986,5790.246353004202
4-13 nights,Other Countries,2020,NA,NA
4-13 nights,Other Countries,2021,275.56180221001244,477.1815571626053
4-13 nights,Other Countries,2022,2277.606061534319,3590.8314786948886
4-13 nights,Total World,2018,17878.6420217436,13238.900297476595
4-13 nights,Total World,2019,17973.258502369044,14350.778066100125
