region,year,spend_per_visit,spend_per_day
- of which EU,2021,557.809,51.113
- of which EU,2022,524.5745444215395,88.84339322764357
- of which EU15,2018,409.57031325962083,84.96499317952099
- of which EU15,2019,428.8742174914439,86.82448978997155
- of which EU15,2020,NA,NA
- of which EU15,2021,576.258,56.059
- of which EU15,2022,547.9550615579199,96.30015572225938
- of which EU Oth,2018,349.92343831954724,43.580342976503744
- of which EU Oth,2019,427.8373380508035,57.199484296835685
- of which EU Oth,2020,NA,NA
- of which EU Oth,2021,485.31,36.208
- of which EU Oth,2022,415.16315523844855,60.10025451082345
Egypt,2018,1011.9174639031594,112.82594882693556
Egypt,2019,1541.5389071840777,193.24896208623738
Egypt,2020,NA,NA
Egypt,2021,2579.247,88.306
Egypt,2022,1853.2726382057147,147.5923226942314
Morocco,2018,690.2901953619586,147.4303687484773
Morocco,2019,1048.6268197930824,103.92270970274025
Morocco,2020,NA,NA
Morocco,2021,2120.798,79.972
Morocco,2022,1457.1047795845623,64.53409540236353
Tunisia,2018,1192.2782115479627,117.02647830286678
Tunisia,2019,434.32477955628775,83.32549501356817
Tunisia,2020,NA,NA
Tunisia,2021,1273.893,40.191
Tunisia,2022,1113.8907428377704,17.960348627886955
Other North Africa,2018,868.5599907152987,74.32966284038834
Other North Africa,2019,1277.8221527687222,108.59177821316878
Other North Africa,2020,NA,NA
Other North Africa,2021,2408.805,34.228
Other North Africa,2022,1798.8582326518433,119.26599973336442
South Africa,2018,1167.4401679819614,94.82692049068729
South Africa,2019,1021.2853371767047,90.47287256627705
South Africa,2020,NA,NA
South Africa,2021,1536.962,30.039
South Africa,2022,1328.0098940697062,78.62976801088044
Nigeria,2018,1449.1076561790208,78.74775119899405
Nigeria,2019,1588.9401356848778,111.08736841959225
Nigeria,2020,NA,NA
Nigeria,2021,2177.11,68.664
Nigeria,2022,1629.0746704684261,77.7087818897615
Other Africa,2018,1119.0777902232871,73.52610123621697
Other Africa,2019,1516.7832014878998,85.71907859214855
Other Africa,2020,NA,NA
Other Africa,2021,1805.244,43.723
Other Africa,2022,1626.296732030338,77.74026183766675
