length_of_stay,purpose,year,number_of_visits,spending_million
4-13 nights,Visiting friends or relatives,2021,1676.716172604572,905.2885035610453
4-13 nights,Visiting friends or relatives,2022,6222.348227407259,3436.3782358483268
4-13 nights,Miscellanous,2018,543.6586978478567,627.1322116593939
4-13 nights,Miscellanous,2019,608.0913042100607,763.8466830621559
4-13 nights,Miscellanous,2020,NA,NA
4-13 nights,Miscellanous,2021,77.44994982093547,106.36162900640242
4-13 nights,Miscellanous,2022,401.0112989550784,493.73756547390974
4-13 nights,All visits,2018,17878.6420217436,13238.900297476595
4-13 nights,All visits,2019,17973.258502369044,14350.778066100125
4-13 nights,All visits,2020,NA,NA
4-13 nights,All visits,2021,2614.690481825162,1949.1895203779236
4-13 nights,All visits,2022,14473.372343013556,13178.301761214072
14-27 nights,Total Holiday,2018,1221.7417424557657,1751.2822956966124
14-27 nights,Total Holiday,2019,1261.987982289187,2065.0383455414453
14-27 nights,Total Holiday,2020,NA,NA
14-27 nights,Total Holiday,2021,111.73468087806094,234.71402776707947
14-27 nights,Total Holiday,2022,893.6790835731235,1797.9672471264596
14-27 nights,of which inclusive tour,2018,107.4667535843156,194.9461563028182
14-27 nights,of which inclusive tour,2019,179.49259954065823,318.03084166630754
14-27 nights,of which inclusive tour,2020,NA,NA
14-27 nights,of which inclusive tour,2021,6.636903947749205,9.972646419578918
14-27 nights,of which inclusive tour,2022,70.96866059441228,212.0714750202113
14-27 nights,Business,2018,224.28913646268978,447.0912211617786
14-27 nights,Business,2019,217.09591323974885,429.90137132989895
14-27 nights,Business,2020,NA,NA
14-27 nights,Business,2021,82.75326999511537,167.42001176121735
14-27 nights,Business,2022,159.29270048749322,493.46822479092094
14-27 nights,Visiting friends or relatives,2018,1723.027146154461,1433.997527911978
14-27 nights,Visiting friends or relatives,2019,1510.152368163935,1407.5512301851936
14-27 nights,Visiting friends or relatives,2020,NA,NA
14-27 nights,Visiting friends or relatives,2021,614.5151754855059,600.1408285102243
14-27 nights,Visiting friends or relatives,2022,1797.5883543063444,1888.593679317678
14-27 nights,Miscellanous,2018,192.08746529897024,419.59456971119107
14-27 nights,Miscellanous,2019,199.4373184705359,451.9291148469804
14-27 nights,Miscellanous,2020,NA,NA
14-27 nights,Miscellanous,2021,49.519416227227225,120.60313731484938
14-27 nights,Miscellanous,2022,134.33563721016162,267.3113828624247
14-27 nights,All visits,2018,3361.145490371893,4051.9656144815635
14-27 nights,All visits,2019,3188.6735821634,4354.420061903517
14-27 nights,All visits,2020,NA,NA
14-27 nights,All visits,2021,858.5225425859082,1122.8780053533696
14-27 nights,All visits,2022,2984.895775577122,4447.340534097486
29 nights or more,Total Holiday,2018,151.7392006316934,422.8590182050716
29 nights or more,Total Holiday,2019,178.1932186579221,370.5588048257877
29 nights or more,Total Holiday,2020,NA,NA
29 nights or more,Total Holiday,2021,51.534208754522815,133.50528023669716
29 nights or more,Total Holiday,2022,171.86385229230382,450.81178551258967
30 nights or more,of which inclusive tour,2018,23.21100905852009,90.57255540245804
30 nights or more,of which inclusive tour,2019,18.97531922307294,55.128069854100595
30 nights or more,of which inclusive tour,2020,NA,NA
30 nights or more,of which inclusive tour,2021,1.8550389194372652,4.107286618439266
30 nights or more,of which inclusive tour,2022,13.779472110421,28.46125360116553
31 nights or more,Business,2018,121.27865532001616,394.3645930017524
31 nights or more,Business,2019,142.37073520029122,593.5874298264954
31 nights or more,Business,2020,NA,NA
31 nights or more,Business,2021,49.36330514963428,220.22663403886133
31 nights or more,Business,2022,89.13203077616616,491.3944610793361
32 nights or more,Visiting friends or relatives,2018,641.3213101040376,924.8236716936769
32 nights or more,Visiting friends or relatives,2019,597.5463503374706,875.7890647628623
32 nights or more,Visiting friends or relatives,2020,NA,NA
32 nights or more,Visiting friends or relatives,2021,440.4237009460955,679.7388385932799
32 nights or more,Visiting friends or relatives,2022,815.847163267337,1320.867640627772
33 nights or more,Miscellanous,2018,315.1842786058219,1414.4375206414577
33 nights or more,Miscellanous,2019,298.90788947717067,1166.7467444336644
33 nights or more,Miscellanous,2020,NA,NA
33 nights or more,Miscellanous,2021,143.24730912334164,709.5247294882809
33 nights or more,Miscellanous,2022,277.6803921819154,1141.4352581335138
34 nights or more,All visits,2018,1229.5234446615705,3156.484803541955
34 nights or more,All visits,2019,1217.0181936728545,3006.6820438488116
34 nights or more,All visits,2020,NA,NA
34 nights or more,All visits,2021,684.5685239735939,1742.9954823571195
34 nights or more,All visits,2022,1354.5234385177232,3404.509145353212
All visits,Total Holiday,2018,16337.007697639969,12193.84508307034
All visits,Total Holiday,2019,16905.398119913105,13340.500396211753
All visits,Total Holiday,2020,4361.503795033104,NA
All visits,Total Holiday,2021,1175.4259403707729,1284.3670484981692
All visits,Total Holiday,2022,12092.10322701746,11566.579742013904
All visits,of which inclusive tour,2018,2147.120090000663,1648.3744658453452
All visits,of which inclusive tour,2019,2578.403200282492,1987.3837755831726
All visits,of which inclusive tour,2020,NA,NA
All visits,of which inclusive tour,2021,75.1081614880231,66.50728793295019
All visits,of which inclusive tour,2022,936.6565314280126,1135.9872986066064
All visits,Business,2018,8788.830771951902,5115.262042861479
All visits,Business,2019,8669.530537374876,5823.149860223027
All visits,Business,2020,2468.9744398591915,NA
All visits,Business,2021,1222.353538591624,938.7779610300923
All visits,Business,2022,5148.833220792106,4981.996621955307
