region,purpose,year,number_of_visits_thousands,spending_million
Wales,Visiting friends or relatives,2022,337.7997719655742,144.83471460695205
Wales,Miscellaneous,2018,57.49398494631068,52.07050262178603
Wales,Miscellaneous,2019,42.72016298796421,70.28972624224726
Wales,Miscellaneous,2020,NA,NA
Wales,Miscellaneous,2021,4.091315057285546,3.9490550341698714
Wales,Miscellaneous,2022,26.439453383329912,36.43382819209293
Wales,All visits,2018,987.5021535131664,433.2743677963985
Wales,All visits,2019,1023.0671925369368,514.6320813005136
Wales,All visits,2020,NA,NA
Wales,All visits,2021,123.8605976664659,66.16448058086245
Wales,All visits,2022,686.2443097683781,391.3453299132333
All Regions,Holiday,2018,16337.007697639985,12193.845083070342
All Regions,Holiday,2019,16905.39811991315,13340.500396211772
All Regions,Holiday,2020,4361.503795033104,NA
All Regions,Holiday,2021,1175.4259403707722,1284.367048498169
All Regions,Holiday,2022,12092.103227017495,11566.579742013904
All Regions,of which inclusive tour,2018,2147.120090000663,1648.374465845344
All Regions,of which inclusive tour,2019,2578.4032002824906,1987.383775583172
All Regions,of which inclusive tour,2020,NA,NA
All Regions,of which inclusive tour,2021,75.10816148802313,66.50728793295019
All Regions,of which inclusive tour,2022,936.6565314280145,1135.987298606604
All Regions,Business,2018,8788.83077195189,5115.262042861484
All Regions,Business,2019,8669.53053737487,5823.14986022303
All Regions,Business,2020,2468.9744398591915,NA
All Regions,Business,2021,1222.3535385916246,938.7779610300912
All Regions,Business,2022,5148.833220792125,4981.9966219553
All Regions,Visiting friends or relatives,2018,12328.129712838765,6232.790148808148
All Regions,Visiting friends or relatives,2019,12427.233080731708,6407.5994386209195
All Regions,Visiting friends or relatives,2020,3446.841067127679,NA
All Regions,Visiting friends or relatives,2021,3456.07270292971,2394.8424813589695
All Regions,Visiting friends or relatives,2022,11780.829407109095,7557.616368728739
All Regions,Miscellaneous,2018,2829.2344463224204,2906.783866017138
All Regions,Miscellaneous,2019,2855.286258471,2835.6479034597373
All Regions,Miscellaneous,2020,823.1878218069038,NA
All Regions,Miscellaneous,2021,529.9710705924814,1020.8391461079957
All Regions,Miscellaneous,2022,2222.673141218251,2351.3897036077087
All Regions,All visits,2018,40283.202628753046,26507.818452561067
All Regions,All visits,2019,40857.447996490715,28448.25261229921
All Regions,All visits,2020,11100.507123819894,6209.817009855798
All Regions,All visits,2021,6383.82325248459,5646.299792566253
All Regions,All visits,2022,31244.43899613698,26496.640840815366
